            OUT          Right           Left
2024 03 02 16 00       72.85       51.22       16.99
2024 03 02 17 00       72.49       51.14       16.67
2024 03 02 18 00       72.02       51.06       16.26
2024 03 02 19 00       71.62       50.97       15.94
2024 03 02 20 00       71.26       50.87       15.67
2024 03 02 21 00       70.91       50.76       15.42
2024 03 02 22 00       70.55       50.65       15.17
2024 03 02 23 00       70.20       50.53       14.94
2024 03 03 00 00       69.71       50.40       14.52
2024 03 03 01 00       69.31       50.27       14.24
2024 03 03 02 00       68.89       50.13       13.93
2024 03 03 03 00       68.50       49.98       13.68
2024 03 03 04 00       68.12       49.82       13.45
2024 03 03 05 00       67.70       49.66       13.16
2024 03 03 06 00       67.30       49.49       12.91
2024 03 03 07 00       66.91       49.31       12.92
2024 03 03 08 00       66.53       49.12       12.55
2024 03 03 09 00       66.14       48.94       12.39
2024 03 03 10 00       65.66       48.73       12.39
2024 03 03 11 00       65.23       48.53       12.27
2024 03 03 12 00       64.75       48.34       11.85
2024 03 03 13 00       64.34       48.10       11.62
2024 03 03 14 00       63.91       47.89       11.57
2024 03 03 15 00       63.49       47.66       11.36
2024 03 03 16 00       63.10       47.43       11.10
2024 03 03 17 00       62.62       47.19       10.93
2024 03 03 18 00       62.16       46.95       10.79
2024 03 03 19 00       61.70       46.70       10.56
2024 03 03 20 00       61.28       46.46       10.43
2024 03 03 21 00       60.79       46.20       10.11
2024 03 03 22 00       60.35       45.94       10.03
2024 03 03 23 00       59.87       45.67        9.74
2024 03 04 00 00       59.44       45.41        9.71
2024 03 04 01 00       58.99       45.14        9.45
2024 03 04 02 00       58.56       44.87        9.42
2024 03 04 03 00       58.12       44.58        9.19
2024 03 04 04 00       57.68       44.31        9.18
2024 03 04 05 00       57.28       44.02        8.90
2024 03 04 06 00       56.78       43.74        8.78
2024 03 04 07 00       56.42       43.46        8.63
2024 03 04 08 00       55.90       43.17        8.56
2024 03 04 09 00       55.55       42.87        8.39
2024 03 04 10 00       55.04       42.58        8.32
2024 03 04 11 00       54.67       42.28        8.18
2024 03 04 12 00       54.17       41.98        8.18
2024 03 04 13 00       53.80       41.68        7.98
2024 03 04 14 00       53.31       41.37        8.01
2024 03 04 15 00       52.86       41.06        7.72
2024 03 04 16 00       52.10       40.75        7.51
2024 03 04 17 00       51.71       40.44        7.23
2024 03 04 18 00       51.23       40.12        7.32
2024 03 04 19 00       50.81       39.81        7.03
2024 03 04 20 00       50.33       39.49        7.12
2024 03 04 21 00       49.92       39.16        6.84
2024 03 04 22 00       49.44       38.84        6.94
2024 03 04 23 00       49.03       38.51        6.66
2024 03 05 00 00       48.55       38.18        6.76
2024 03 05 01 00       48.14       37.84        6.50
2024 03 05 02 00       47.67       37.50        6.60
2024 03 05 03 00       47.26       37.16        6.35
2024 03 05 04 00       46.79       36.82        6.46
2024 03 05 05 00       46.16       36.47        5.97
2024 03 05 06 00       45.68       36.13        6.05
2024 03 05 07 00       45.29       35.78        5.86
2024 03 05 08 00       44.84       35.43        5.97
2024 03 05 09 00       44.46       35.08        5.81
2024 03 05 10 00       44.01       34.73        5.92
2024 03 05 11 00       43.54       34.38        5.66
2024 03 05 12 00       43.03       34.03        5.61
2024 03 05 13 00       42.56       33.68        5.54
2024 03 05 14 00       42.16       33.33        5.22
2024 03 05 15 00       41.64       32.99        6.04
2024 03 05 16 00       41.22       32.64        5.34
2024 03 05 17 00       40.68       32.29        5.44
2024 03 05 18 00       40.22       31.93        5.08
2024 03 05 19 00       39.78       31.58        4.55
2024 03 05 20 00       39.33       31.23        4.54
2024 03 05 21 00       38.89       30.88        4.49
2024 03 05 22 00       38.46       30.54        4.41
2024 03 05 23 00       38.02       30.19        4.34
2024 03 06 00 00       37.59       29.85        4.25
2024 03 06 01 00       37.13       29.51        4.19
2024 03 06 02 00       36.63       29.16        4.06
2024 03 06 03 00       36.16       28.82        3.91
2024 03 06 04 00       35.69       28.48        3.74
2024 03 06 05 00       35.20       28.15        3.55
2024 03 06 06 00       34.68       27.82        3.88
2024 03 06 07 00       34.16       27.48        3.99
2024 03 06 08 00       33.70       27.15        3.03
2024 03 06 09 00       33.27       26.82        2.82
2024 03 06 10 00       32.85       26.50        2.67
2024 03 06 11 00       32.44       26.18        2.16
2024 03 06 12 00       32.03       25.86        2.16
2024 03 06 13 00       31.61       25.53        2.20
2024 03 06 14 00       31.20       25.20        2.10
2024 03 06 15 00       30.79       24.87        2.25
2024 03 06 16 00       30.36       24.54        3.57
2024 03 06 17 00       29.94       24.18        3.43
2024 03 06 18 00       29.55       23.84        3.08
2024 03 06 19 00       29.15       23.51        2.24
2024 03 06 20 00       28.16       22.84        2.09
2024 03 06 21 00       27.38       22.29        3.43
2024 03 06 22 00       26.57       21.54        2.44
2024 03 06 23 00       26.04       21.03        2.45
2024 03 07 00 00       25.56       20.62        2.05
2024 03 07 01 00       25.09       20.20        2.77
2024 03 07 02 00       24.43       19.38        2.78
2024 03 07 03 00       23.78       18.70        2.76
2024 03 07 04 00       22.35       17.15        2.82
2024 03 07 05 00       21.57       16.37        2.81
2024 03 07 06 00       21.10       15.94        2.80
2024 03 07 07 00       20.38       15.20        2.82
2024 03 07 08 00       19.36       13.99        2.87
2024 03 07 09 00       18.75       13.41        2.87
2024 03 07 10 00       17.56       12.49        3.31
2024 03 07 11 00       16.68       11.80        3.22
2024 03 07 12 00       16.08       11.21        3.22
2024 03 07 13 00       15.14       10.68        3.24
2024 03 07 14 00       14.18        9.81        3.28
2024 03 07 15 00       13.31        8.93        2.39
2024 03 07 16 00       12.27        8.11        3.27
2024 03 07 17 00       11.39        7.46        3.07
2024 03 07 18 00       10.25        6.46        3.37
2024 03 07 19 00        8.95        5.36        2.15
2024 03 07 20 00        8.12        5.06        2.81
2024 03 07 21 00        7.68        4.92        2.16
2024 03 07 22 00        6.97        4.51        2.76
2024 03 07 23 00        6.18        4.07        3.05
2024 03 08 00 00        5.74        3.86        2.40
2024 03 08 01 00        5.52        3.78        2.14
2024 03 08 02 00        5.39        3.71        2.00
2024 03 08 03 00        5.27        3.65        1.90
2024 03 08 04 00        5.17        3.59        1.85
2024 03 08 05 00        5.09        3.54        1.61
2024 03 08 06 00        5.02        3.48        0.91
2024 03 08 07 00        4.94        3.43        0.71
2024 03 08 08 00        4.86        3.37        0.60
2024 03 08 09 00        4.77        3.32        1.23
2024 03 08 10 00        4.70        3.27        1.16
2024 03 08 11 00        4.62        3.22        1.06
2024 03 08 12 00        4.55        3.18        1.12
2024 03 08 13 00        4.49        3.13        0.85
2024 03 08 14 00        4.44        3.09        0.49
2024 03 08 15 00        4.37        3.05        0.56
2024 03 08 16 00        4.31        3.01        0.63
2024 03 08 17 00        4.26        2.97        0.56
2024 03 08 18 00        4.20        2.93        0.69
2024 03 08 19 00        4.15        2.89        0.61
2024 03 08 20 00        4.08        2.86        0.89
2024 03 08 21 00        4.05        2.82        0.78
2024 03 08 22 00        3.99        2.79        0.86
2024 03 08 23 00        3.95        2.76        0.94
2024 03 09 00 00        3.93        2.75        0.77
2024 03 09 01 00        3.89        2.73        0.90
2024 03 09 02 00        3.88        2.71        0.96
2024 03 09 03 00        3.85        2.69        0.92
2024 03 09 04 00        3.83        2.67        0.76
2024 03 09 05 00        3.81        2.65        0.92
2024 03 09 06 00        3.80        2.64        0.70
2024 03 09 07 00        3.77        2.63        0.94
2024 03 09 08 00        3.78        2.62        0.64
2024 03 09 09 00        3.76        2.62        0.95
2024 03 09 10 00        3.76        2.62        0.73
2024 03 09 11 00        3.76        2.62        0.97
2024 03 09 12 00        3.77        2.62        0.90
2024 03 09 13 00        3.77        2.62        0.87
2024 03 09 14 00        3.77        2.61        0.91
2024 03 09 15 00        3.77        2.59        0.91
2024 03 09 16 00        3.76        2.58        0.91
2024 03 09 17 00        3.74        2.55        0.91
2024 03 09 18 00        3.71        2.53        0.91
2024 03 09 19 00        3.68        2.50        0.91
2024 03 09 20 00        3.64        2.47        0.91
2024 03 09 21 00        3.59        2.44        0.92
2024 03 09 22 00        3.55        2.41        0.93
2024 03 09 23 00        3.51        2.38        0.93
2024 03 10 00 00        3.46        2.36        0.93
2024 03 10 01 00        3.42        2.33        0.91
2024 03 10 02 00        3.38        2.31        0.88
2024 03 10 03 00        3.35        2.29        0.85
2024 03 10 04 00        3.32        2.28        0.82
2024 03 10 05 00        3.30        2.27        0.78
2024 03 10 06 00        3.28        2.27        0.80
2024 03 10 07 00        3.27        2.26        0.69
2024 03 10 08 00        3.26        2.26        0.82
2024 03 10 09 00        3.25        2.26        0.64
2024 03 10 10 00        3.23        2.26        0.75
2024 03 10 11 00        3.23        2.25        0.62
2024 03 10 12 00        3.21        2.23        0.79
2024 03 10 13 00        3.19        2.21        0.55
2024 03 10 14 00        3.16        2.19        0.77
2024 03 10 15 00        3.13        2.16        0.50
2024 03 10 16 00        3.09        2.12        0.55
2024 03 10 17 00        3.04        2.09        0.73
2024 03 10 18 00        3.00        2.06        0.71
2024 03 10 19 00        2.96        2.02        0.68
2024 03 10 20 00        2.91        1.99        0.65
2024 03 10 21 00        2.87        1.96        0.60
2024 03 10 22 00        2.83        1.93        0.51
2024 03 10 23 00        2.79        1.90        0.63
2024 03 11 00 00        2.75        1.87        0.53
